flight_number,airline,origin,destination,date,day_of_week,month,scheduled_departure,actual_departure,delay_minutes,delay_category,delay_reason,distance,hour_of_day
DE509,Delta Air Lines,IAD,PHX,2024-11-23,Saturday,November,2024-11-23 08:15:00,2024-11-23 09:29:00,74,Severe Delay,Airport Congestion,330,8
DE3682,Delta Air Lines,LAS,DTW,2024-01-16,Tuesday,January,2024-01-16 15:15:00,2024-01-16 19:19:00,244,Severe Delay,Aircraft Issue,2039,15
JE206,JetBlue Airways,CLT,IAD,2024-10-28,Monday,October,2024-10-28 12:30:00,2024-10-28 12:41:00,11,Minor Delay,Baggage Loading,618,12
SP1684,Spirit Airlines,IAH,JFK,2024-02-17,Saturday,February,2024-02-17 15:00:00,2024-02-17 16:33:00,93,Severe Delay,Airport Congestion,522,15
JE6025,JetBlue Airways,PHL,MCO,2024-10-09,Wednesday,October,2024-10-09 17:00:00,2024-10-09 17:07:00,7,Minor Delay,Baggage Loading,526,17
DE6327,Delta Air Lines,PHX,BOS,2024-04-29,Monday,April,2024-04-29 15:30:00,2024-04-29 15:36:00,6,Minor Delay,Baggage Loading,1058,15
JE1269,JetBlue Airways,LGA,SLC,2024-12-09,Monday,December,2024-12-09 07:15:00,2024-12-09 07:21:00,6,Minor Delay,Baggage Loading,1305,7
SO5413,Southwest Airlines,DFW,PHX,2024-11-23,Saturday,November,2024-11-23 19:30:00,2024-11-23 19:53:00,23,Moderate Delay,Weather,1064,19
AL3583,Alaska Airlines,BWI,BOS,2024-10-17,Thursday,October,2024-10-17 11:45:00,2024-10-17 11:59:00,14,Minor Delay,Air Traffic Control,1210,11
JE9677,JetBlue Airways,EWR,LGA,2024-10-14,Monday,October,2024-10-14 11:15:00,2024-10-14 12:55:00,100,Severe Delay,Airport Congestion,572,11
DE2604,Delta Air Lines,BWI,CLT,2024-01-25,Thursday,January,2024-01-25 18:45:00,2024-01-25 18:50:00,5,Minor Delay,Baggage Loading,1763,18
FR8769,Frontier Airlines,PHX,PHL,2024-11-01,Friday,November,2024-11-01 19:00:00,2024-11-01 19:12:00,12,Minor Delay,Air Traffic Control,2992,19
JE5673,JetBlue Airways,ORD,SEA,2024-10-01,Tuesday,October,2024-10-01 12:45:00,2024-10-01 12:54:00,9,Minor Delay,Late Arrival,1278,12
UN8417,United Airlines,ORD,SLC,2024-09-13,Friday,September,2024-09-13 09:15:00,2024-09-13 09:16:00,1,Minor Delay,Air Traffic Control,2409,9
AM9913,American Airlines,SEA,MSP,2024-09-28,Saturday,September,2024-09-28 01:30:00,2024-09-28 04:37:00,187,Severe Delay,Aircraft Issue,437,1
DE1503,Delta Air Lines,IAD,BOS,2024-05-03,Friday,May,2024-05-03 19:15:00,2024-05-03 19:18:00,3,Minor Delay,Baggage Loading,2451,19
JE8745,JetBlue Airways,LGA,EWR,2024-03-25,Monday,March,2024-03-25 22:15:00,2024-03-26 02:09:00,234,Severe Delay,Crew Issue,1994,22
FR2082,Frontier Airlines,LAS,PHX,2024-09-21,Saturday,September,2024-09-21 05:00:00,2024-09-21 05:10:00,10,Minor Delay,Air Traffic Control,2610,5
AM1263,American Airlines,SAN,BWI,2024-04-22,Monday,April,2024-04-22 04:00:00,2024-04-22 07:19:00,199,Severe Delay,Weather,2305,4
JE8053,JetBlue Airways,MCO,PHL,2024-05-01,Wednesday,May,2024-05-01 06:45:00,2024-05-01 07:06:00,21,Moderate Delay,Late Arrival,1867,6
DE1688,Delta Air Lines,SLC,EWR,2024-04-07,Sunday,April,2024-04-07 10:45:00,2024-04-07 10:51:00,6,Minor Delay,Late Arrival,421,10
DE1093,Delta Air Lines,JFK,SEA,2024-12-10,Tuesday,December,2024-12-10 18:00:00,2024-12-10 18:05:00,5,Minor Delay,Air Traffic Control,2396,18
UN7012,United Airlines,CLT,MIA,2024-08-17,Saturday,August,2024-08-17 13:00:00,2024-08-17 13:09:00,9,Minor Delay,Late Arrival,601,13
AM1628,American Airlines,LAS,CLT,2024-01-26,Friday,January,2024-01-26 11:45:00,2024-01-26 11:50:00,5,Minor Delay,Baggage Loading,440,11
SP135,Spirit Airlines,JFK,PHX,2024-03-25,Monday,March,2024-03-25 21:45:00,2024-03-25 21:51:00,6,Minor Delay,Late Arrival,2476,21
FR2636,Frontier Airlines,MCO,SEA,2024-12-04,Wednesday,December,2024-12-04 08:00:00,2024-12-04 08:08:00,8,Minor Delay,Late Arrival,449,8
AM921,American Airlines,PHL,BOS,2024-06-09,Sunday,June,2024-06-09 13:15:00,2024-06-09 13:18:00,3,Minor Delay,Late Arrival,528,13
DE9849,Delta Air Lines,DEN,SAN,2024-04-05,Friday,April,2024-04-05 19:45:00,2024-04-05 19:59:00,14,Minor Delay,Late Arrival,1208,19
AM1443,American Airlines,EWR,SAN,2024-10-23,Wednesday,October,2024-10-23 15:30:00,2024-10-23 17:44:00,134,Severe Delay,Crew Issue,1177,15
SP2244,Spirit Airlines,SLC,BWI,2024-05-15,Wednesday,May,2024-05-15 09:30:00,2024-05-15 10:37:00,67,Severe Delay,Weather,2077,9
DE1300,Delta Air Lines,DTW,MCO,2024-11-14,Thursday,November,2024-11-14 13:15:00,2024-11-14 14:20:00,65,Severe Delay,Aircraft Issue,1713,13
UN7279,United Airlines,DTW,IAD,2024-05-25,Saturday,May,2024-05-25 09:00:00,2024-05-25 09:02:00,2,Minor Delay,Late Arrival,1426,9
DE2300,Delta Air Lines,PHX,ORD,2024-12-05,Thursday,December,2024-12-05 20:15:00,2024-12-05 20:17:00,2,Minor Delay,Late Arrival,1062,20
